DESIGNATION,
CHAPTER COMMANDER,
CHAPTER DEPUTY CMDR-ADMIN,
CHAPTER DEPUTY CMDR-OPERATION,
CHAPTER SECERETARY,
CHAPTER TREASURER,
CHAPTER AUDITOR,
CHAPTER ADVISER,
CHAPTER P.I.O,
CHAPTER COORDINATOR,
CHAPTER OFFICER-MEMBERSHIP,
CHAPTER OFFICER-GRIEVANCE,
CHAPTER OFFICER-ANTI-CRIME,
CHAPTER OFFICER-COMMUNITY SERVICE,
CHAPTER OFFICER-MARSHALL,
CHAPTER OFFICER-MONITORING,
CHAPTER OFFICER-RADIO COMM,
CHAPTER OFFICER-RESCUE,
CHAPTER OFFICER-INTELLIGENCE,
CHAPTER OFFICER-TRAFFIC,
CHAPTER OFFICER-ANTI ILL. DRUGS,
CHAPTER OFFICER-EDUCATION,
CHAPTER OFFICER-RELIEF OPERATION,
CHAPTER OFFICER-INSPECTOR,
CHAPTER OFFICER-WAYS AND MEANS,
CHAPTER OFFICER-SPECIAL OPERATION,
CHAPTER OFFICER-LIVELIHOOD,
CHAPTER OFFICER-PROPERTY CUSTODIAN,
CHAPTER OFFICER-MARKETING,
CHAPTER OFFICER-MEDIA,
CHAPTER OFFICER-YOUTH,
CHAPTER OFFICER-BROTHERHOOD,
CHAPTER OFFICER-INVESTIGATION,
